,Econv1,Econv1,Econv1,Econv1,Econv1,Econv1,Gmain0,Gmain0,Gmain0,Gmain0,Gmain0,Gmain0,Gmain-1,Gmain-1,Gmain-1,Gmain-1,Gmain-1,Gmain-1
,"300, 100","500, 200","1000, 500","3000, 1000","10000, 3000","30000, 5000","300, 100","500, 200","1000, 500","3000, 1000","10000, 3000","30000, 5000","300, 100","500, 200","1000, 500","3000, 1000","10000, 3000","30000, 5000"
cifar10,0.5,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994
svhn,0.8437492222222222,0.849244,0.8421926800000001,0.8378779999999999,0.8321,0.76475,0.774337888888889,0.644068,0.81900026,0.6439779999999999,0.8897999999999999,0.82195,0.7506692222222222,0.750124,0.7468202199999999,0.7467069999999999,0.7260000000000001,0.6861499999999999
celeba,0.8050104444444444,0.816932,0.8030542599999999,0.8111149999999999,0.7961,0.72995,0.6617907777777777,0.708228,0.62912912,0.7367900000000001,0.6305000000000001,0.582975,0.7960245555555555,0.8158240000000001,0.79835148,0.8029749999999999,0.8520999999999999,0.7648999999999999
lsun,0.6165705555555555,0.616844,0.613054,0.619965,0.6131000000000001,0.507775,0.46310166666666663,0.5311199999999999,0.42180966666666664,0.540425,0.4662,0.36572499999999997,0.6993177777777777,0.704372,0.6943673333333332,0.7045266666666666,0.7414999999999999,0.65225
cifar100,0.5503763333333334,0.566144,0.54201796,0.564045,0.5513000000000001,0.5162,0.5178450555555556,0.535664,0.49758038,0.535627,0.522,0.4295,0.5411162222222222,0.563544,0.53726764,0.557819,0.5687,0.488575
mnist,0.9996476666666666,0.9971,0.9993709199999999,0.998404,1.0,0.9974,0.8513563333333334,0.94922,0.8383122,0.879964,0.9488000000000001,0.969375,0.9941862222222221,0.995976,0.99233168,0.993978,0.9954999999999999,0.9971749999999999
fmnist,0.9947028888888889,0.987972,0.9933366399999999,0.9936860000000001,0.9949999999999999,0.98665,0.7743997777777778,0.891128,0.78797048,0.824901,0.8903,0.907125,0.9816225555555556,0.98376,0.9791108800000001,0.9807989999999999,0.9884999999999999,0.987025
kmnist,0.9993703333333334,0.99566,0.99908524,0.998098,0.9994,0.994,0.839169,0.924028,0.8244875199999999,0.866356,0.9259999999999999,0.9546,0.9971534444444444,0.998772,0.9960083999999999,0.9972989999999999,0.9964,0.9995499999999999
omniglot,0.998864,0.999112,0.99818548,0.999132,1.0,0.998825,0.7727331111111111,0.7575480000000001,0.6947161800000001,0.835383,0.9346,0.749425,0.9949636666666666,0.9974239999999999,0.9933364,0.996725,0.9984,0.998675
notmnist,0.9955044444444444,0.996104,0.9968381199999999,0.997911,0.9973,0.988125,0.915815,0.895568,0.92652578,0.904039,0.8664000000000001,0.8599249999999999,0.9828705555555557,0.993024,0.98513628,0.9919150000000001,0.9984999999999999,0.98915
trafficsign,0.5376074444444444,0.591376,0.53232746,0.571463,0.6910000000000001,0.598575,0.615038388888889,0.680724,0.64576118,0.59343,0.726,0.576075,0.3688166666666667,0.353776,0.36535038,0.38707400000000003,0.3794,0.324475
noise,0.11822199999999998,0.1299,0.12112828,0.130098,0.16649999999999998,0.0677,0.2980682777777778,0.150736,0.12147918,0.5778789999999999,0.0,0.0,0.005133000000000002,0.009840000000000008,0.006196360000000007,0.008037000000000008,0.007900000000000008,0.01050000000000001
constant,0.991867888888889,0.974024,0.98965776,0.991186,0.9631000000000001,0.9333,0.9973542222222221,0.9533479999999999,0.99954736,0.98673,0.9924999999999999,0.9921249999999999,0.9724265555555556,0.9764919999999998,0.9693365599999999,0.977772,0.9804999999999999,0.9701
