,Econv1,Econv1,Econv1,Econv1,Econv1,Econv1,Gmain0,Gmain0,Gmain0,Gmain0,Gmain0,Gmain0,Gmain-1,Gmain-1,Gmain-1,Gmain-1,Gmain-1,Gmain-1
,"300, 100","500, 200","1000, 500","3000, 1000","10000, 3000","30000, 5000","300, 100","500, 200","1000, 500","3000, 1000","10000, 3000","30000, 5000","300, 100","500, 200","1000, 500","3000, 1000","10000, 3000","30000, 5000"
fmnist,0.5,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994
svhn,0.9999487777777778,1.0,0.99999324,0.999922,1.0,0.99925,0.9531792777777778,0.927172,0.95529032,0.946797,0.6223000000000001,0.78595,0.9999277777777777,1.0,0.99998016,0.999844,1.0,0.999925
celeba,0.9995534444444445,0.999696,0.9997262,0.9994029999999999,0.9985999999999999,0.9980249999999999,0.8217701666666668,0.832008,0.8174193200000001,0.825745,0.4916999999999999,0.626575,0.9997425555555556,0.999888,0.99986228,0.999638,1.0,0.9996
lsun,0.9995655555555556,0.999872,0.999844,0.9995566666666666,0.9991,0.997975,0.7415244444444444,0.7941959999999999,0.7213666666666667,0.7834833333333333,0.4318,0.6418,0.9995755555555556,0.999952,0.9998323333333333,0.9994466666666667,1.0,0.9993
cifar10,0.9993362222222222,0.9996160000000001,0.9995557600000001,0.999386,0.9986999999999999,0.998325,0.7453306666666666,0.774052,0.7188255800000001,0.7579085,0.48889999999999995,0.655725,0.9993694444444444,0.999748,0.99963212,0.9993839999999999,1.0,0.999325
cifar100,0.9991083333333334,0.9993839999999999,0.9994651600000001,0.999286,0.9983,0.998275,0.7367262222222222,0.7780640000000001,0.7249228,0.757121,0.49609999999999993,0.6511750000000001,0.9991922222222223,0.999624,0.999529,0.999356,0.9995999999999999,0.9990249999999999
mnist,0.9810628888888888,0.980548,0.9833814799999999,0.982518,0.9837,0.9882,0.6724216666666667,0.884112,0.5421056799999999,0.7910379999999999,0.4943,0.7794,0.9633541111111111,0.959728,0.9660254800000001,0.966647,0.9631,0.9580250000000001
kmnist,0.9927451111111111,0.9884,0.99326084,0.9928440000000001,0.9925,0.9904000000000001,0.8564355555555556,0.909604,0.76454664,0.8938090000000001,0.5071000000000001,0.789625,0.9934056666666666,0.990324,0.99439408,0.994334,0.9954,0.991075
omniglot,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
notmnist,0.9997255555555555,0.9999439999999999,0.99977552,0.9997,0.9998,0.99795,0.9815408888888889,0.98972,0.9763387200000002,0.984748,0.8809999999999999,0.972425,0.9998001111111111,0.999948,0.99983116,0.9997370000000001,1.0,0.9998
noise,0.9924568888888889,0.996068,0.9951793200000001,0.99557,1.0,0.995,0.9996339999999999,0.9735039999999999,0.99949948,0.998992,0.253,0.6719499999999999,0.975404,0.971348,0.9770150799999999,0.98062,0.9704999999999999,0.9778
constant,0.9971275555555554,0.994004,0.9970796399999999,0.995895,0.9999,0.999275,0.9970232222222222,0.988356,0.9971607200000001,0.994776,0.9471,0.97585,0.9969733333333332,0.9938279999999999,0.9970088799999999,0.9955,1.0,0.9994999999999999
